created_at	comment_count	repost_count	text
2012-12-5 18:24:29	72	177	诺基亚今天下午正式发布了Lumia 920T。它是诺基亚WP8旗舰手机Lumia 920的中国移动定制版，相比国际版，在硬件上有了少许变化，我们第一时间对其进行了评测。详细请看：http://t.cn/zjM5hE8
2012-12-5 8:51:14	87	378	【“海淘族”掀跨国购物潮】在国内电商与传统商场的混战中，“海淘”网站已然成为电商生力军，支付宝数据显示，这几天中国网民跨境消费额同比增长140%。很多“海淘”商品比国内便宜三分之一以上。而食品安全问题也是海淘大热的诱因之一。http://t.cn/zjIn7ii 附海淘攻略：http://t.cn/zOi4YSC
2012-12-4 13:47:31	116	1373	知情人士透露，中国移动成立互联网公司只是时间问题。并且可能在12月5日召开中国移动开发者大会时披露，目前中国移动与互联网业务有关的是9个业务基地，有可能将设在广东的互联网基地先改制组成公司，再将其余八大基地并入其中。(康钊)http://t.cn/zjIhkq1
2012-12-5 19:41:31	80	124	【魅族MX2评测观点】魅族MX2相比MX四核硬件、软件提升幅度均不是很大，而是注重在机身设计以及Flyme系统细节的改进。首次采用带有荧光材质的触控HOME按键，整机设计更加简约，可谓点睛之笔。设计和工艺在目前国产手机终端属上流水准，但对现有MX四核用户来说，升级意义不大。http://t.cn/zjMfwGr
2012-12-5 11:21:07	101	255	【中移动将推自有品牌终端】中国移动总裁李跃今天表示，中国移动会成立互联网公司，并会做自己品牌的终端，但不会与产业链竞争。在移动互联网领域，中国移动将不会再沿用移动梦网模式，而是要与SP、CP更开放合作。(康钊)http://t.cn/zjIejvT
2012-12-6 1:59:26	39	112	【高通1.2亿美元入股夏普】1.2亿美元对于严重缺钱的夏普来说，并不是一个大数目，但这家处于破产边缘的公司急需向投资者发出一个不会破产的信号。高通完成了一次“雪中送炭”，但更为重要的是，这也是高通进行全产业链布局中的重要一环。(罗亮) http://t.cn/zjMp3XG
2012-12-5 22:32:47	55	120	“海外购”正逐渐成为国内消费者的关注焦点。一方面，足不出户就可以逛遍世界市场；另一方面，随着人民币的不断升值，“海淘”更加具备了坚实的基础。据了解，很多“海淘”商品价格一般比国内便宜三分之一或二分之一。http://t.cn/zjMak6O
2012-12-5 18:22:28	72	130	【微信，即将告别张小龙时代？】虎嗅网评论：微信公众平台是一个自下而上都比较失控的产品项目，而且在微信体系中即将被边缘化，近期的评价和三个月前已迥然不同，唱衰的声音越发响亮。张小龙是微信的创造者、商业化的探路者，而长期看，他最终会归于平台支持者。http://t.cn/zjM51Id
2012-12-4 9:47:39	116	1443	【LG手机在华裁员】上周开始，LG电子手机业务在全国的26个办事处已陆续有员工接到即将离职的通知，由于在3G时代智能机战略失误、产品研发落后于中国市场，LG电子在中国的手机业务已快走到山穷水尽的地步。(康钊)http://t.cn/zjf3qPX
2012-12-6 13:59:29	26	28	台湾媒体称HTC将再推出一款代号为M7的高端手机，配备1080p屏幕，采取铝制一体成型外壳，搭载1.5GHz四核处理器，2GB RAM，1300万像素摄像头，运行安卓4.2系统，支持无线充电，据传最快将在明年的MWC大会上现身。http://t.cn/zjMHgXX
2012-12-6 9:27:23	15	67	【欧德宁：英特尔将从内部选拔人士接任CEO】英特尔CEO欧德宁周三称，董事会将从公司内部挑选一名候选人，在他明年5月离职以后出任CEO。就英特尔所面临的挑战而言，挑选内部人士对这家芯片巨头来说将是明智的选择。在智能手机和平板电脑市场迅速增长的形势下，英特尔正面临着困境。http://t.cn/zjMQtwe
2012-12-5 14:15:52	61	147	【中移动定制机型诺基亚Lumia 920T首发 4599元】诺基亚首款WP8手机Lumia 920今日在广州正式发布，该机目前有黄、红、白、黑四种颜色供选择，基本配置：4.5英寸屏幕、双核1.5GHz、870万+120万摄像头、1G内存32G存储、WP8系统，售价4599元...http://t.cn/zjMZYLo 有人说便宜？嗯，的确比切糕便宜！
2012-12-5 17:55:34	43	131	【手机掉水里，用大米救它！】据统计，19%的人都曾将自己的手机掉进水里。若不幸遇到这种惨事，该如何"抢救"手机呢？从水里捞出来用纸巾等将手机擦干净；然后，若是iPhone，电池没法拆解，就直接将其放到大米中；其它手机，就将电池等拔出，然后将手机放到大米里，等上24小时吧...http://t.cn/zjIw4Ku
2012-12-5 13:17:08	82	116	【2016年Windows Phone份额或达11%】IDC预计到2016年，苹果iOS的市场份额将增长至19.1%，而Android的市场份额将从目前的68.3%下降至63.8%，Windows Phone的市场份额将为11.4%。http://t.cn/zjImte1
2012-12-6 13:29:01	16	37	【Facebook将“订阅”功能改名为“关注”】为了让用户不再感到困惑，Facebook决定将“订阅”(Subscribe)功能改名为“关注”(Follow)。Twitter此前一直在使用“关注”的说法。Facebook一年前推出了“订阅”功能，让用户可以了解非好友用户的内容更新。http://t.cn/zjMm7zo
2012-12-5 16:41:16	36	148	【用手机直接root另一台手机】对于安卓用户来说，Root几乎是个必修课，不过现有的方法都需PC来完成操作。国外发烧友制作了Root Transmission这款软件，可以安装在支持OTG功能的手机上，再下载对应手机的root脚本文件即可完全在手机端完成操作。友情提示：Root有风险，操作须谨慎。http://t.cn/zjIDuPW
2012-12-5 13:21:32	59	147	【三星太子爷升任集团副董事长】李健熙日前提携独子李在镕为三星集团副董事长，目前，李在镕已任职三星电子COO兼总裁，被公认为是最有可能成为三星集团董事长接班人的人。李在镕能说一口流利的英语和日语，现龄44岁。三星成立于1938年，由李在镕的祖父李秉喆创立。http://t.cn/zjIsUGK
2012-12-5 16:25:05	59	88	【@网易LOFTER 推新协议 终结互联网版权霸王条款】12月5日，网易LOFTER、摄影和博客三款产品联合发布新版用户协议。规定用户上传(发布)作品的著作权一律归创作者所有。网易杭州研究院产品经理朱静波对速途网表示，这是保护用户版权上的一小步，也希望是互联网行业迈出的一大步。http://t.cn/zjMU3FD
2012-12-4 3:48:19	110	1473	【携号转网试点渐遭淡忘】海南电信和海南联通于11月份相继更换总经理，已引发人们对携号转网政策的思考，这个已实施近两年的政策不但没有改变海南通信业的格局，反而日益被遗忘，而其根源在于申请携号转网的成功概率太低，导致愿意再申请的用户越来越少。(康钊) http://t.cn/zjf32Xl
2012-12-5 3:18:26	118	198	【微软不愿透露Surface在华销量】微软对Surface的业绩保持缄默，或被认为是微软“涉硬”的出师不利。昨日，在谈及Surface在华销售情况时，微软大中华区CEO贺乐赋仅表示，Surface在华销售符合预期，但不愿透露销售数字。此外，截至目前，苏宁方面也拒绝透露有关Surface的销售情况。http://t.cn/zjIHCE2
2012-12-4 18:08:33	134	468	【详讯：中兴获国开行200亿美元融资】中兴通讯刚刚发布公告称，已跟国家开发银行签订200亿美元的融资协议。根据协议，国开行与中兴通讯未来5年将进行总额度为200亿美元的融资合作，其中2013年合作意向为55亿美元。这是双方自2005年、2009年开展两轮合作之后的第三轮合作。http://t.cn/zjIMyi8
2012-12-6 9:37:02	18	37	【联通充值卡失效：买卡后半小时话费被盗走】据报道，近日联通充值卡被大量盗充，有不少充值卡被盗充的联通代理商加入到上百人的维权队伍，联通充值卡“失效门”受损失人群和金额不断扩大。有网友称，买卡后半小时话费就被盗走。而警方调查仍无进展，联通方面一直回避充值卡事件。http://t.cn/zjMQv8A
2012-12-6 0:32:32	28	66	照片共享服务商Instagram周三禁用了Twitter在其网站和应用上正常显示Instagram照片的功能。Instagram和Twitter曾站在同一战线对抗Facebook，但自从Instagram被Facebook收购后，如今却变成直接竞争对手。业内人士称，Instagram此举使两公司之间的紧张关系进一步恶化。http://t.cn/zjM914i
2012-12-5 11:43:12	45	154	【日本取代美国成Android应用最赚钱市场】美国应用分析公司App Annie的最新数据显示，今年10月，苹果App Store的收入虽然达到谷歌Android应用商店Google Play的4倍，但二者差距正在缩小。与此同时，日本已经超越美国，成为Google Play月收入最高的国家。http://t.cn/zjIDstj
2012-12-6 10:36:40	14	33	手机电池不耐用是个让人头疼的问题。江湖上各种“传说中”的应急充电方案究竟是否可靠？ @ZOL中关村在线 对几种传言进行了检测，结果表明所谓“方案”只不过是谣言而已。http://t.cn/zjMEoXh
2012-12-4 17:53:46	131	356	快讯：中兴通讯刚刚发布公告称，已跟国家开发银行签订200亿美元的融资协议。http://t.cn/zjIIn12
2012-12-4 19:43:28	92	370	【互联网女皇2012年报告(已更新中文)】1.全球网民总数达24亿，而且仍然保持每年8%的增速。2.操作系统发生深刻变革，iOS和Android占比超45%，Windows仅剩35%；而在2007年，微软市场份额超90%。3.2013年第二季度，智能手机和平板保有量将超PC。http://t.cn/zjIAHx8 全文：http://t.cn/zjIAUZr
2012-12-4 23:59:00	96	241	汤森路透评选出2012年全球创新力企业百强，美欧日韩瓜分榜单，中国公司无一上榜。苹果、谷歌、三星、西门子、松下等公司悉数上榜。汤森路透评定主要基于专利申请成功率、专利申请的全球性、影响力、创新专利数等四项指标。虽然中国专利申请数量领先全球，但质量及影响力不足。http://t.cn/zjIa66M
2012-12-6 9:05:06	20	22	【早间要闻一览】1、苹果iPhone 5S首次曝光 传明年一季度出http://t.cn/zjMQza3 2、亚马逊Kindle“自出版”是一个美丽的谎言吗? http://t.cn/zjMHH6O 3、中国移动自有品牌手机猜想：低价可成杀手锏 http://t.cn/zjMQwax 4、苹果&三星称霸背后 7大手机品牌因何陨落http://t.cn/zjMYdNY
2012-12-5 1:52:28	72	229	【京东淘宝双12寻差异促销】双11促销大战的硝烟还未散去，京东商城、淘宝等又开始为12月的促销做预热，大家纷纷将目光瞄准“12月12日”这个日子，不过与此前618、1111激烈降价大战相比，电商平台都希望寻求差异化促销，以缓解疲劳价格轰炸带来的用户不满情绪。(崔西) http://t.cn/zjIYKhN
2012-12-5 7:42:55	64	138	【黑莓10能否成RIM的救星？】投资公司MKM Partners分析师迈克尔·吉诺维斯指出，虽然基于RIM即将发布黑莓10操作系统而上调了业绩预期，但RIM几乎不可能在2014年以前恢复盈利。他认为此前分析师上调RIM评级之举过于乐观。RIM定于明年1月30日商业化发布黑莓10。http://t.cn/zjIQaMA
2012-12-4 10:34:44	228	448	新浪数码刚刚收到魅族工程测试版MX2手机，并为大家带来第一手的开箱图赏，稍后还会为大家带来详细评测。开箱图围观链接：http://t.cn/zjIh2Se
2012-12-5 7:16:20	85	94	【早间要闻回顾】微软对Surface的业绩保持缄默，或被认为是微软“涉硬”的出师不利。在谈及Surface在华销售情况时，微软大中华区CEO贺乐赋仅表示，Surface在华销售符合预期，但不愿透露销售数字。苏宁方面也拒绝透露有关Surface的销售情况。http://t.cn/zjInoVO
2012-12-6 13:00:47	18	11	【Lumia 920视频评测-By 王自如】来自著名评测人王自如对Lumia 920的评测。Lumia 920配备高通S4 1.5GHz双核处理器，1G RAM，32G ROM，870万像素纯景摄像头，2000mAh电池，支持NFC。官方定价4599元。 http://t.cn/zjMoGTZ
2012-12-6 11:11:07	16	20	新浪科技旗下微博帐号新浪数码已改名@新浪手机 了~欢迎大家继续关注，另外，我们还有为苹果爱好者准备的@苹果汇，(http://t.cn/zjfubgU )和创业者关注的@创事记。PS：摄影爱好者和平板电脑用户可以关注@爱单反 和@爱平板，自然科学爱好者请留意@科学探索 和@美国国家地理~
